feature,importance
regularPrice,0.4057498262504848
sellingPrice,0.25986601357909195
Minutes,0.18458184238434558
Internet,0.09095539576112678
operator,0.03863206199843618
validity,0.013797515118581388
Bundle Type,0.006417344907933455
