,mse,rmse,mae,r2
RandomForest,102.84223986386203,10.14111630264943,5.488995530359425,0.5848832342176244
GradientBoosting,102.99255400259726,10.148524720499884,5.716169955023583,0.5842764998718368
LinearRegression,170.47700726601283,13.056684390227591,8.817845103096763,0.3118793990659372
DecisionTree,110.06891137561291,10.491373188272968,5.68022782733952,0.5557131917399344
