feature,importance
regularPrice,0.42387043664326185
sellingPrice,0.21772600791495436
Minutes,0.20898913659278176
Internet,0.08652476882859995
operator,0.03615533493394244
validity,0.015378613089401328
Bundle Type,0.011355701997058317
