feature,importance
regularPrice,0.43115322829732594
sellingPrice,0.22817333634995443
Minutes,0.19197624160230878
Internet,0.08736839062864668
operator,0.042720157216955636
validity,0.013484529650408762
Bundle Type,0.005124116254399741
